Name,Party,Twittername
Gunilla Carlsson,S,kulturgunilla
Gunilla Svantorp,S,GunillaSvantorp
Hanna Westerén,S,
Hannah Bergstedt,S,HannahBergstedt
Hans Ekström,S,hb_hans
Hans Hoff,S,HansHoff
Hans Unander,S,
Helén Pettersson,S,hepe
Helene Petersson,S,
Hillevi Larsson,S,HilleviLarsson
Håkan Bergman,S,
Håkan Juholt,S,hakanjuholt
Ingela Nylund Watz,S,
Ingemar Nilsson,S,IngemarNilsson_
Isak From ,S,FromIsak
Jan-Olof Larsson,S,
Jasenko Omanovic,S,
Jennie Nilsson,S,jennieNilsson
Johan Andersson,S,
Johan Büser,S,johanbuser
Johanna Haraldsson,S,JoHarald
Jonas Gunnarsson,S,JonasGunnarsso1
Jörgen Hellman,S,
Kalle Olsson,S,
Katarina Köhler,S,kekhler
Kenneth G Forslund,S,KGFdirekt
Kent Härstedt,S,
Kerstin Nilsson,S,
Kristina Nilsson,S,
Krister Örnfjäder,S,
Lars Eriksson,S,
Lars Mejern Larsson,S,Mejern
Lawen Redar,S,LawenRedar
Linus Sköld,S,lskold
Leif Jakobsson,S,jakobsson_leif
Leif Nysmed,S,LeifNysmed
Leif Pettersson,S,
Lena Emilsson,S,EmilssonLena
Lena Hallengren,S,lenahallengren
Lennart Axelsson,S,LENNARTNORA
Magnus Manhammar,S,manhammar
Matilda Ernkrans,S,ernkrans
Mathias Tegnér,S,tegnr
Mattias Jonsson,S,riksdagsmattias
Mattias Ottosson,S,MattiasOtto1
Maria Andersson Willner,S,mariawillner
Maria Strömkvist,S,MariaStromkvist
Marianne Pettersson,S,
Marie Granlund,S,MarieGranlund
Mikael Dahlqvist,S,
Monica Green,S,GreenMonica
Monica Haider,S,Monicahaider
Niklas Karlsson,S,niklaska
Olle Thorell,S,Olle_Thorell
Patrik Björck,S,patrikbjorck
Patrik Engström,S,engstrompatrik
Patrik Lundqvist,S,insatspatrik
Paula Holmqvist,S,
Per-Arne Håkansson,S,1Perarne1
Peter Jeppsson,S,PeterJeppsson
Peter Johnsson,S,
Peter Persson,S,
Petter Löberg,S,
Phia Andersson,S,phiapa
Pia Nilsson,S,
