media,politicalparty,politics,pagename,pageid,url
0,0,1,"Vi som inte tänker rösta på Alliansen eller SD i valet 2018",168262429857435,"https://www.facebook.com/visomintetankerrostapaalliansenivalet2014"
0,0,1,"Yimby Göteborg",18858735822,"https://www.facebook.com/groups/18858735822/about/"
0,1,0,"Centerpartiet",12690894340,"https://www.facebook.com/centerpartiet/"
0,1,0,"Centerpartiets ungdomsförbund",110793008936879,"https://www.facebook.com/cufswe/"
0,1,0,"Feministiskt initiativ",112513375470294,"https://www.facebook.com/feministisktinitiativ/"
0,1,0,"Grön ungdom",113234935374946,"https://www.facebook.com/GronUngdom/"
0,1,0,"Kommunistiska partiet",152953178070559,"https://www.facebook.com/kommunisterna/"
0,1,0,"Kristdemokraterna",115198178364,"https://www.facebook.com/Kristdemokraterna/"
0,1,0,"Kristdemokratiska ungdomsförbundet",177549278946958,"https://www.facebook.com/KDUSVERIGE/"
0,1,0,"Liberala partiet",194555880406,"https://www.facebook.com/liberalapartiet/"
0,1,0,"Liberala ungdomsförbundet",108941769135355,"https://www.facebook.com/liberalaungdomsforbundet/"
0,1,0,"Liberalerna",132266740623,"https://www.facebook.com/liberalernas/"
0,1,0,"Miljöpartiet",34780126150,"https://www.facebook.com/miljopartiet/"
0,1,0,"Moderata ungdomsförbundet",139375052786521,"https://www.facebook.com/mufswe/"
0,1,0,"Moderaterna",7719591155,"https://www.facebook.com/moderaterna/"
0,1,0,"Piratpartiet",7336236196,"https://www.facebook.com/piratpartiet/"
0,1,0,"Socialdemokraterna",8040892957,"https://www.facebook.com/socialdemokraterna/"
0,1,0,"SSU",45101268520,"https://www.facebook.com/ssusverige/"
0,1,0,"Sverigedemokraterna",676246449160270,"https://www.facebook.com/sverigedemokraterna/"
0,1,0,"Sverigedemokratisk ungdom",160333517324943,"https://www.facebook.com/sdungdom/"
0,1,0,"Ung pirat",92683221988,"https://www.facebook.com/ungpirat/"
0,1,0,"Ung vänster",293573868390,"https://www.facebook.com/ungvanster/"
0,1,0,"Vänsterpartiet",323156205347,"https://www.facebook.com/vansterpartiet/"
1,0,0,"Aftonbladet",124292684247609,"https://www.facebook.com/aftonbladet/"
1,0,0,"Avpixlat",1456773041274824,"https://www.facebook.com/samnytt2/"
1,0,0,"Bubbla",244909922366444,"https://www.facebook.com/nyhetsbubbla/"
1,0,0,"Dagens Nyheter",321961491679,"https://www.facebook.com/dn.se/"
1,0,0,"ETC",369582590803,"https://www.facebook.com/ETCtidningarna/"
1,0,0,"Expressen",37134975344,"https://www.facebook.com/expressen/"
1,0,0,"GP Ledare",915684658452138,"https://www.facebook.com/GP-ledare-915684658452138/"
1,0,0,"KIT",1540635576171214,"https://www.facebook.com/KIT.Sverige/"
1,0,0,"Nyheter Idag",647421441984111,"https://www.facebook.com/nyheteridag/"
1,0,0,"Nyheter24 Debatt",340991739443696,"https://www.facebook.com/nyheter24debatt/"
1,0,0,"Nyheter24",112920858743936,"https://www.facebook.com/nyheter24/"
1,0,0,"Omni",471766916244326,"https://www.facebook.com/omniredaktionen/"
1,0,0,"P3 Nyheter",158686186756,"https://www.facebook.com/P3Nyheter/"
1,0,0,"Samhällsnytt",1916606461940878,"https://www.facebook.com/samnytt/"
1,0,0,"SR P1",102331493143871,"https://www.facebook.com/sverigesradiop1/"
1,0,0,"Stiftelsen Expo",208751565805849,"https://www.facebook.com/stiftelsenexpo/"
1,0,0,"SvD",96178346173,"https://www.facebook.com/svenskadagbladet/"
1,0,0,"Sveriges Radio",146516072147644,"https://www.facebook.com/sverigesradio/"
1,0,0,"SVT Kulturnyheterna",194434097233,"https://www.facebook.com/SVTKulturnyheterna/"
1,0,0,"SVT Nyheter Blekinge",1611837889037395,"https://www.facebook.com/svtnyheterblekinge/"
1,0,0,"SVT Nyheter Dalarna",421988034504765,"https://www.facebook.com/svtnyheterdalarna/"
1,0,0,"SVT Nyheter Gävleborg",610667052371888,"https://www.facebook.com/svtnyhetergavleborg/"
1,0,0,"SVT Nyheter Halland",315145462017481,"https://www.facebook.com/svtnyheterhalland/"
1,0,0,"SVT Nyheter Helsingborg",1547863862141785,"https://www.facebook.com/svtnyheterhelsingborg/"
1,0,0,"SVT Nyheter Jämtland",396190677209056,"https://www.facebook.com/svtnyheterjamtland/"
1,0,0,"SVT Nyheter Jönköping",858493157545733,"https://www.facebook.com/svtnyheterjonkoping/"
1,0,0,"SVT Nyheter Norrbotten",111500025531929,"https://www.facebook.com/svtnyheternorrbotten/"
1,0,0,"SVT Nyheter Nyhetstecken",115389561815700,"https://www.facebook.com/svtnyhetstecken/"
1,0,0,"SVT Nyheter Skåne",115466795147508,"https://www.facebook.com/svtnyheterskane/"
1,0,0,"SVT Nyheter Småland",187314909461,"https://www.facebook.com/svtnyhetersmaland/"
1,0,0,"SVT Nyheter Stockholm",368058114605,"https://www.facebook.com/svtnyheterstockholm/"
1,0,0,"SVT Nyheter Södertälje",405516342965116,"https://www.facebook.com/svtnyhetersodertalje/"
1,0,0,"SVT Nyheter Sörmland",661446230614210,"https://www.facebook.com/svtnyhetersormland/"
1,0,0,"SVT Nyheter Uppasala",767529806613711,"https://www.facebook.com/svtnyheteruppsala/"
1,0,0,"SVT Nyheter Värmland",257352644358707,"https://www.facebook.com/svtnyhetervarmland/"
1,0,0,"SVT Nyheter Väst",119615201531626,"https://www.facebook.com/svtnyhetervast/"
1,0,0,"SVT Nyheter Västerbotten",163477356171,"https://www.facebook.com/svtnyhetervasterbotten/"
1,0,0,"SVT Nyheter Västernorrland",114481681908184,"https://www.facebook.com/svtnyhetervasternorrland/"
1,0,0,"SVT Nyheter Västmanland",798921863496944,"https://www.facebook.com/svtnyhetervastmanland/"
1,0,0,"SVT Nyheter Örebro",121694704533831,"https://www.facebook.com/svtnyheterorebro/"
1,0,0,"SVT Nyheter Öst",192708919794,"https://www.facebook.com/svtnyheterost/"
1,0,0,"SVT Nyheter",266876443341903,"https://www.facebook.com/svtnyheter"
1,0,0,"SVT Opinion",818390738190641,"https://www.facebook.com/svtopinion/"
1,0,0,"SVT",152358601473403,"https://www.facebook.com/svt"
1,0,0,"TV4 Nyheterna",557501950976234,"https://www.facebook.com/tv4nyheterna/"
1,0,0,"Viralgranskaren",472089809557926,"https://www.facebook.com/viralgranskaren/"
